ZIP A,ZIP B,Lat_A,Lon_A,Lat_B,Lon_B
1330,1330,19.3698625,-99.26816420000002,19.3698625,-99.26816420000002
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
5500,11200,19.3401429,-99.3094019,19.4477344,-99.21413659999999
52774,52774,19.4223752,-99.29241909999999,19.4223752,-99.29241909999999
4230,55076,19.3542204,-99.12624609999999,19.5850596,-99.00876009999999
4100,3920,19.3538129,-99.16360510000001,19.3726839,-99.18367549999999
52172,11000,19.2722311,-99.57569339999999,19.420166,-99.2203687
11230,53569,19.4574859,-99.2106745,19.4616205,-99.223485
6100,6140,19.4093682,-99.1719095,19.4149803,-99.17744619999999
3020,3320,19.3940734,-99.1539178,19.3681203,-99.1573774
53125,52784,19.5138612,-99.2605428,19.4201558,-99.2494583
54769,54870,19.5983736,-99.19267409999999,19.6745962,-99.1719095
11800,1070,19.4002495,-99.17744619999999,19.3445588,-99.1864442
3560,3510,19.3704998,-99.1393889,19.3965929,-99.13316309999999
52172,11000,19.2722311,-99.57569339999999,19.420166,-99.2203687
11800,1070,19.4002495,-99.17744619999999,19.3445588,-99.1864442
1710,10000,19.3574644,-99.207905,19.3145421,-99.24114589999999
52763,52764,19.3916612,-99.2882606,19.379596,-99.2938053
4120,3100,19.3545104,-99.1497664,19.3813647,-99.16802390000001
3300,3810,19.3648912,-99.1483827,19.3943574,-99.17744619999999
1700,6400,19.3418937,-99.22452369999999,19.4468279,-99.1594532
5500,11200,19.3401429,-99.3094019,19.4477344,-99.21413659999999
5270,11830,19.3669014,-99.297271,19.4057906,-99.19890459999999
4920,9440,19.3064523,-99.1241711,19.3731619,-99.1303962
6140,11590,19.4149803,-99.17744619999999,19.4326577,-99.17744619999999
1780,1780,19.3392293,-99.21898379999999,19.3392293,-99.21898379999999
11800,4100,19.4002495,-99.17744619999999,19.3538129,-99.16360510000001
6100,11590,19.4093682,-99.1719095,19.4326577,-99.17744619999999
